Site,Feature,14c,sd,LabNumber,Depth,calibrated_from,calibrated_to,calibrated_µ,caibrated_median
45PO140,O-11,210,60,WSU-3714,33-44,427,0,198,193
45PO137,H-55,250,120,WSU-3709,32-46,493,0,265,277
45PO139,O-5.61,300,60,WSU-3330,42,500,151,361,376
45PO137,H-23,380,90,WSU-3670,,623,151,404,412
45PO137,M-1,380,90,WSU-3668,16-34,623,151,404,412
45PO137,O-25,590,120,WSU-3669,43-56,768,319,581,588
45PO137,O-25,610,90,WSU-3747,43-56,721,497,598,599
45PO435,F-4.C,670,30,Beta-423252,,673,559,618,635
45PO435,F-4.F,710,30,Beta-411665,,688,564,651,663
45PO144,O-11,915,110,WSU-3763,45-64,902,557,708,704
45PO137,M-3,820,70,WSU-3670,49,909,659,754,740
45PO144,O-11,770,70,WSU-3658,42-50,1058,666,836,831
45PO139,O-6.1,990,70,WSU-3753,16-28,1055,734,882,877
45PO137,M-3.1,1005,40,WSU-3338,40-52,971,792,893,911
45PO141,O-9,1020,90,WSU-3724,38-51,1175,732,924,924
45PO139,O-4.9,1040,70,WSU-3334,14-21,1176,783,945,946
45PO139,O-4.21,1120,65,WSU-3402,40-50,1242,918,1040,1032
45PO144,O-11,1250,60,WSU-3764,42-64,1294,1006,1172,1178
45PO139,P-8.1,1310,55,WSU-3333,48-58,1309,1073,1222,1226
45PO141,O-8,1480,60,WSU-3725,49-60,1516,1292,1376,1366
45PO139,O-8.3,1520,60,WSU-3331,41,1524,1307,1413,1402
45PO139,O-5.62,1580,130,WSU-3401,22,1747,1191,1488,1479
45PO139,F-1.1,1856,27,D-AMS 037995,,1828,1710,1767,1766
45PO140,O-15.1,2120,80,WSU-3721,61-88,2330,1892,2108,2098
45PO139,P-4.1,2150,150,Beta-13302,20-30,2682,1735,2139,2134
45PO140,O-7,2400,130,WSU-3340,10 to 29,2756,2129,2472,2475
45PO141,O-16.1,2595,70,WSU-3720,59-72,2856,2440,2664,2701
45PO141,O-16,2690,70,WSU-3721,54-67,2992,2711,2815,2811
45PO141,O-3,2740,70,WSU-3726,38-55,3004,2740,2858,2847
45PO141,O-17,2860,130,WSU-3722,54-70,3340,2753,3019,3010
45PO139,O-8.61,2980,110,WSU-3674,25-66,3397,2865,3145,3148
45PO144,O-14,3024,29,D-AMS 037996,,3343,3081,3232,3224
45PO139,O-5.41,3050,80,WSU-3329,22-49,3444,3004,3236,3244
45PO139,O-8.51,3160,80,WSU-3332,30-51,3562,3174,3365,3374
45PO139,O-5.61,3310,60,WSU-3400,38,3690,3398,3540,3533
45PO139,P-7.9,3360,130,WSU-3336,116-126,3970,3273,3621,3612
45PO139,O-4.3,3360,135,WSU-3756,18-49,3975,3267,3622,3613
45PO141,O-14.1,3410,185,WSU-3718,62,4225,3224,3695,3683
45PO139,O-8.41,3460,70,WSU-3337,42-66,3904,3493,3723,3723
45PO139,O-5.31,3790,540,WSU-3752,43-60,5602,2880,4270,4244
