Plant_ID,DateRange,FreshLength,FreshWidth,FreshThickness,FreshWeight,FreshRatio,CharredLength,CharredWidth,CharredThickness,CharredWeight,CharredRatio,NumLeaves,Group
cq_lg_1,mature,3.7,2.8,3.3,13.3623,0.824324324,2.4,2.9,2.9,4.5431,1.208333333,4,control
cq_lg_2,mature,2.8,3.1,3,11.9573,1.089285714,2.7,2.2,2,1.6942,0.777777778,3,control
cq_lg_3,mature,3.2,3,3.2,11.0741,0.96875,2.6,2.5,2.4,2.3628,0.942307692,3,control
cq_lg_9,mature,3.1,2.7,3.1,13.1666,0.935483871,2.9,2.8,2.7,4.1462,0.948275862,4,control
cq_lg_14,mature,3.1,2.7,3.1,13.0458,0.935483871,3.5,2.4,2.6,4.3809,0.714285714,3,control
cq_lg_15,mature,3.4,2.6,1.9,10.2108,0.661764706,3,1.5,2.5,1.1788,0.666666667,4,control
cq_lg_17,mature,3.4,3.1,2.7,13.2548,0.852941176,3.2,2.5,2.7,4.4559,0.8125,4,control
cq_lg_18,mature,3.4,2.8,3.1,11.3737,0.867647059,2.4,2.6,2,4.1728,0.958333333,4,control
cq_lg_22,mature,3.7,2.6,2.7,9.6007,0.716216216,3.5,2.3,2.5,3.1931,0.685714286,4,control
cq_lg_23,mature,4.5,2.6,2.1,13.0493,0.522222222,3.6,2.6,2.5,3.925,0.708333333,4,control
cq_lg_25,mature,3.4,3,3,11.368,0.882352941,3.4,2.6,2.7,4.2948,0.779411765,4,control
cq_lg_26,mature,3.4,2.7,2.7,11.9393,0.794117647,3.6,2.7,2.4,2.6673,0.708333333,4,control
cq_lg_28,mature,3.8,3.5,3.4,14.5585,0.907894737,3.1,3,3,4.2289,0.967741935,4,control
cq_lg_29,mature,3,2.5,2.4,8.333,0.816666667,2.9,2.3,2,2.0123,0.74137931,5,control
cq_lg_30,mature,2.9,2.6,2.6,11.7057,,,,,,,4,control
cq_lg_31,mature,3.3,2.9,2.3,9.3982,0.787878788,3.1,2.7,2,3.2743,0.758064516,5,control
cq_lg_32,mature,3.2,2.8,2.6,15.8632,0.84375,3,2.3,2.4,2.9261,0.783333333,4,control
cq_lg_33,mature,3.4,2.5,2.1,8.95,0.676470588,3.2,2.5,2.3,2.7064,0.75,4,control
cq_lg_34,mature,4,2.6,2.6,9.5936,0.65,3.4,2.1,2.1,1.7943,0.617647059,3,control
cq_lg_35,mature,3.5,2.5,2.2,7.7,0.671428571,3.6,2.3,2.2,2.318,0.625,4,control
cq_lg_36,mature,3.7,3.1,3,13.3214,0.824324324,3.6,2.2,2.7,2.5526,0.680555556,4,control
cq_lg_37,mature,3.5,2.9,2.8,13.6586,0.814285714,3,2.9,2.8,3.1686,0.95,4,control
cq_lg_39,mature,3.6,3,2.8,12.9624,0.805555556,2.9,2.5,2.5,2.4366,0.862068966,3,control
cq_lg_40,mature,3.5,2.7,2.6,9.9072,0.757142857,2.9,2.6,2.6,1.3666,0.896551724,4,control
cq_lg_41,mature,4.3,3,2.5,12.0171,0.639534884,3,2.2,2.2,1.5959,0.733333333,5,control
cq_lg_43,mature,3.3,2.8,3.2,12.4727,0.909090909,3.1,3,3,3.5077,0.967741935,4,control
cq_lg_44,mature,3.8,2.6,2.3,9.7543,0.644736842,3.5,2.4,2.3,2.0367,0.671428571,3,control
cq_lg_46,mature,3.3,3.2,2.6,12.8783,0.878787879,3.3,3,2.8,5.5702,0.878787879,3,control
cq_lg_48,mature,3.6,2.6,1.8,7.5103,0.611111111,3.2,2.4,1.7,1.1465,0.640625,3,control
cq_lg_50,mature,3.1,2.8,2.3,10.0964,0.822580645,3.1,2.8,2.3,4.0931,0.822580645,4,control
cq_sm_2,immature,2.8,1.6,1.6,3.441,0.571428571,2.8,1.4,1.5,0.5153,0.517857143,3,control
cq_sm_3,immature,3,1.7,1.6,3.598,0.55,2.8,1.5,1.4,0.7843,0.517857143,3,control
cq_sm_4,immature,2.9,1.2,1.5,2.796,0.465517241,2.4,1.1,1.2,0.4862,0.479166667,2,control
cq_sm_5,immature,2.7,1.3,1.3,1.954,0.481481481,2.2,1.2,1.1,0.328,0.522727273,2,control
cq_sm_8,immature,2.8,1.6,1.3,2.42,0.517857143,2,1.4,1.3,0.3388,0.675,2,control
cq_sm_12,immature,2.6,1.4,1.4,2.319,0.538461538,2,1,0.9,0.2943,0.475,2,control
cq_sm_13,immature,2.8,1.5,1.7,3.469,0.571428571,2.5,1.5,1.5,0.7654,0.6,3,control
cq_sm_14,immature,2.5,1.5,1.7,2.528,0.64,2,1.7,1.8,0.4238,0.875,3,control
cq_sm_15,immature,3,1.8,1.6,3.713,0.566666667,2.7,1.7,1.5,0.9162,0.592592593,3,control
cq_sm_19,immature,3.1,1.7,1.3,2.981,0.483870968,2.4,1.3,1.3,0.534,0.541666667,2,control
cq_sm_20,immature,2.7,1.9,1.9,3.498,0.703703704,2.1,2.1,2,0.9018,0.976190476,3,control
cq_sm_21,immature,3.3,1.8,1.6,3.661,0.515151515,2.9,1.6,1.5,0.857,0.534482759,3,control
cq_sm_22,immature,2.5,1.6,1.5,3.023,0.62,2.4,1.6,1.5,0.5744,0.645833333,3,control
cq_sm_24,immature,2.6,1.5,1.6,2.645,0.596153846,2.1,1.4,1.4,0.4361,0.666666667,2,control
cq_sm_25,immature,3.5,1.6,1.5,3.646,0.442857143,2.5,1.5,1.5,0.8836,0.6,3,control
cq_sm_26,immature,2.3,1.5,1.3,2.345,0.608695652,2,1.2,1.1,0.4144,0.575,2,control
