depth_cm,age_calBP,d18OcarbVPDB,d13CcarbVPDB
0.95,-59,-7.81,0.89
1.7,-58.3,-5.91,3.18
2.2,-57.8,-9.03,-0.76
2.58,-57.4,-5.35,3.75
2.98,-57,-5.61,3.87
3.4,-56.2,-5.98,3.56
3.8,-55.4,-5.35,4.14
4.15,-54.4,-6.67,2.71
4.45,-53.2,-5.82,3.8
4.75,-52,-5.88,3.23
5,-51,-6.36,3.19
5.2,-50,-5.4,3.76
5.4,-49,-5.53,3.68
5.6,-48,-5.86,3.41
5.88,-46.6,-5.6,3.85
6.18,-45.1,-6.58,2.5
6.38,-44.1,-6.63,2.65
6.53,-43.4,-5.78,3.59
6.68,-42.6,-5.31,3.7
6.83,-41.9,-6.66,2.28
6.95,-41.3,-6.64,2.52
7.05,-40.6,-6.54,2.27
7.15,-39.7,-5.98,2.99
7.25,-38.8,-5.45,3.26
7.35,-37.9,-8.81,0.12
7.45,-37,-7.7,2.31
7.6,-35.6,-10.14,-0.42
7.8,-33.8,-6.4,2.79
8.05,-31.6,-5.47,3.74
8.15,-30.7,-6.25,2.97
8.3,-29.3,-8.15,1.07
8.45,-28,-7.84,1.52
8.6,-26.6,-10.1,-0.96
8.75,-25.3,-6.21,3.07
8.85,-24.4,-8.65,0.75
8.95,-23.5,-6.52,2.57
9.05,-22.7,-7.83,1.75
9.2,-21.6,-7.6,1.71
9.35,-20.6,-6.82,2.45
9.45,-19.9,-7.67,1.74
9.55,-19.2,-5.93,3.5
9.65,-18.5,-6.66,2.58
9.75,-17.8,-9.93,-1.83
9.9,-16.7,-5.61,3.29
10.05,-15.3,-7.17,2.13
10.15,-13.8,-6.51,2.64
10.3,-11.5,-5.79,3.46
10.45,-9.3,-6.08,2.97
10.6,-7,-5.87,3.14
10.75,-4.8,-5.12,4.26
10.85,-3.3,-8.72,0.47
10.95,-1.8,-5.62,3.36
11.1,0.5,-8.93,0.35
11.25,2.8,-6.68,2.21
11.4,5,-7.25,1.8
11.55,7.3,-4.93,3.84
11.65,8.8,-7.22,2.16
11.75,10.3,-4.96,4.68
11.85,11.8,-6.3,3
11.95,13.3,-4.91,4.45
12.05,15.3,-5.83,3.56
12.15,17.8,-4,4.55
12.3,21.5,-5.5,4.11
12.45,25.3,-5.74,3.62
12.6,29,-5.91,3.78
12.8,34,-6.12,3.43
12.95,37.8,-5.44,4.32
13.1,41.5,-4.93,4.69
13.25,45.3,-5.2,4.42
13.35,47.8,-4.83,4.17
13.5,51.5,-4.91,4.13
13.65,55.3,-4.74,4.42
13.75,57.8,-4.44,4.61
13.9,61.5,-4.86,4.33
14.1,65.3,-4.86,4.53
14.3,67.9,-4.7,4.46
14.45,69.9,-5.25,4.07
14.6,71.8,-5.77,3.44
14.75,73.8,-5.23,3.71
14.85,75.1,-7.01,2.3
15,77,-6.56,2.42
