depth,calyrBP,sst-uk37
1,181,9.8
3,542,10.2
5,903,10.2
9,1626,10.3
11,1987,10.8
13,2348,10.7
15,2710,9.7
17,3071,10.3
19,3432,9.9
23,4155,9.7
26.5,4787,10.3
27,4878,9.5
29,5239,10.5
31,5600,10.5
35,6323,9.8
36.5,6594,11
37,6684,10.8
39.5,7136,10.2
51.5,9303,11.1
56.5,10100,11.8
59.5,10321,10.2
61.5,10468,12.4
64.5,10690,10.9
66.5,10837,12
68.5,10985,9.8
69.25,11040,10.4
71.5,11206,6.9
73.5,11353,6.5
76.5,11574,5.9
78.5,11722,6
81.5,11943,6.6
86.5,12288,7
91.5,12535,7.1
93.5,12634,6.8
96.5,12740,8
101.5,12775,8.9
106.5,12810,8.8
111.5,12871,7.5
116.5,13037,8.4
121.5,13178,9.1
126.5,13222,8.5
131.5,13266,8.8
136.5,13310,9
141.5,13355,8.8
146.5,13399,8.7
151.5,13440,7.4
156.5,13470,9
156.5,13470,8.6
156.5,13470,8.5
160.5,13493,8.8
170.5,13552,6.8
175.5,13582,6.9
180.5,13612,6.9
190.5,13671,7.3
195.5,13701,7.5
200.5,13730,8.4
205.5,13760,8.4
210.5,13789,9.1
215.5,13819,8.7
220.5,13849,10.3
225.5,13878,9.7
230.5,13908,10
235.5,13938,10.1
240.5,13967,7.9
245.5,13997,10.3
250.5,14026,9.8
255.5,14056,9.6
260.5,14086,7.7
265.5,14115,6.4
270.5,14146,6.5
275.5,14179,8
285.5,14245,6
295.5,14325,6.3
305.5,14536,5.7
315.5,14746,5.5
325.5,14957,8.6
335.5,15167,9.7
345.5,15378,6.4
